length	t	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
10	1	10	2500	2500	13.888889	13.888889	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	250	250	0.0	Evolver(size=100,keep=25,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	10	3600	3600	20.000000	20.000000	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	360	360	0.0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=20,mutator=SingleBitMutator)
10	1	10	6000	6000	33.333333	33.333333	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	600	600	0.0	Evolver(size=300,keep=75,breeder=UniformCrossover,toMutate=30,mutator=SingleBitMutator)
10	1	10	6400	6400	35.555556	35.555556	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	640	640	0.0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
10	1	10	7000	7000	38.888889	38.888889	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	700	700	0.0	Evolver(size=500,keep=125,breeder=UniformCrossover,toMutate=50,mutator=SingleBitMutator)
10	1	10	3600	3600	20.000000	20.000000	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	360	360	0.0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=20,mutator=SingleBitMutator)
10	1	10	6000	6000	33.333333	33.333333	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	600	600	0.0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=20,mutator=SingleBitMutator)
10	1	10	6432	6432	35.733333	35.733333	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	643	643	0.0	Mimicker(size=200,keep=2)
10	1	10	20703	20703	115.016667	115.016667	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	2070	2070	0.0	Mimicker(size=200,keep=5)
10	1	10	17889	17889	99.383333	99.383333	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	1789	1789	0.0	Mimicker(size=200,keep=10)
10	1	10	10827	10827	60.150000	60.150000	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	1083	1083	0.0	Mimicker(size=400,keep=2)
10	1	10	11629	11629	64.605556	64.605556	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	1163	1163	0.0	Mimicker(size=400,keep=5)
10	1	10	39699	39699	220.550000	220.550000	18.0	18.0	18.0	0.0	0.00	18.0	10	1.0000	3970	3970	0.0	Mimicker(size=400,keep=10)
20	2	10	10700	10700	28.918919	28.918919	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	1070	1070	0.0	Evolver(size=100,keep=25,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	10	18000	18000	48.648649	48.648649	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	1800	1800	0.0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=20,mutator=SingleBitMutator)
20	2	10	24300	24300	65.675676	65.675676	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	2430	2430	0.0	Evolver(size=300,keep=75,breeder=UniformCrossover,toMutate=30,mutator=SingleBitMutator)
20	2	10	31200	31200	84.324324	84.324324	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	3120	3120	0.0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
20	2	10	34000	34000	91.891892	91.891892	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	3400	3400	0.0	Evolver(size=500,keep=125,breeder=UniformCrossover,toMutate=50,mutator=SingleBitMutator)
20	2	14	41200	33200	80.626223	64.970646	35.0	36.5	37.0	0.9	0.00	37.0	10	0.7143	4120	3320	0.0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=20,mutator=SingleBitMutator)
20	2	10	54800	54800	148.108108	148.108108	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	5480	5480	0.0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=20,mutator=SingleBitMutator)
20	2	10	28944	28944	78.227027	78.227027	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	2894	2894	0.0	Mimicker(size=200,keep=2)
20	2	10	124419	124419	336.267568	336.267568	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	12442	12442	0.0	Mimicker(size=200,keep=5)
20	2	10	177885	177885	480.770270	480.770270	37.0	37.0	37.0	0.0	0.00	37.0	10	1.0000	17789	17789	0.0	Mimicker(size=200,keep=10)
